task,candidate_id,macro_f1,project_macro_f1,accuracy,weighted_f1,balanced_accuracy,minimum_class_recall,threshold
s6,R-01,0.254496,0.237160,0.668841,0.649826,0.247701,0.097140,
s6,R-02,0.254121,0.238641,0.557293,0.593719,0.288250,0.163861,
s6,R-03,0.258295,0.240502,0.669787,0.651598,0.254449,0.092283,
s6,R-04,0.253835,0.236134,0.668567,0.649190,0.247343,0.100378,
s6,R-05,0.253217,0.225449,0.680317,0.653926,0.243097,0.087542,
s6,R-06,0.239611,0.223648,0.675338,0.647704,0.237140,0.084188,
s6,R-07,0.245046,0.228717,0.527420,0.572686,0.274214,0.148148,
s6,R-08,0.256498,0.232640,0.574743,0.602874,0.284428,0.136364,
s3,R-01,0.440229,0.417679,0.823529,0.813129,0.427421,0.138704,
s3,R-02,0.445993,0.425404,0.744318,0.771296,0.484982,0.292359,
s3,R-03,0.447361,0.417426,0.822384,0.813746,0.435613,0.150332,
s3,R-04,0.439842,0.416101,0.823131,0.812785,0.426902,0.143272,
s3,R-05,0.439663,0.403765,0.833611,0.817860,0.422536,0.127076,
s3,R-06,0.425324,0.405451,0.828185,0.812740,0.411655,0.124585,
s3,R-07,0.428919,0.403600,0.787409,0.793049,0.431777,0.167774,
s3,R-08,0.451682,0.419100,0.764482,0.783498,0.477274,0.275748,
s2,R-01,0.619560,0.596385,0.718927,0.739531,0.651709,0.542772,0.185
s2,R-02,0.617362,0.595305,0.716263,0.737396,0.650061,0.542772,0.185
s2,R-03,0.618423,0.597744,0.711434,0.734666,0.656897,0.568513,0.180
s2,R-04,0.616580,0.591678,0.710313,0.733556,0.654369,0.563703,0.180
s2,R-05,0.625905,0.602940,0.724826,0.744604,0.658085,0.549922,0.180
s2,R-06,0.617243,0.593562,0.712404,0.735005,0.653579,0.558242,0.170
s2,R-07,0.619560,0.596385,0.718927,0.739531,0.651709,0.542772,0.185
s2,R-08,0.625290,0.604351,0.731075,0.748139,0.651135,0.521581,0.185
