task,candidate_id,project,v1_macro_f1,rescue_macro_f1,delta
s6,R-08,BIRT,0.228679,0.240468,0.011789
s6,R-08,CDT,0.226875,0.234207,0.007332
s6,R-08,Equinox,0.229286,0.211293,-0.017994
s6,R-08,JDT,0.240390,0.249110,0.008720
s6,R-08,MYLYN,0.220346,0.217680,-0.002666
s6,R-08,PDE,0.239548,0.243829,0.004281
s6,R-08,Papyrus,0.215176,0.212015,-0.003161
s6,R-08,Platform,0.261559,0.259814,-0.001745
s6,R-08,TPTP,0.214851,0.214172,-0.000679
s3,R-08,BIRT,0.400150,0.439315,0.039165
s3,R-08,CDT,0.415704,0.419509,0.003805
s3,R-08,Equinox,0.430444,0.403345,-0.027099
s3,R-08,JDT,0.408520,0.431744,0.023223
s3,R-08,MYLYN,0.412077,0.398514,-0.013563
s3,R-08,PDE,0.403289,0.412182,0.008893
s3,R-08,Papyrus,0.398628,0.381222,-0.017405
s3,R-08,Platform,0.415138,0.445578,0.030440
s3,R-08,TPTP,0.416745,0.415321,-0.001424
s2,R-05,BIRT,0.601603,0.603635,0.002031
s2,R-05,CDT,0.568928,0.580484,0.011556
s2,R-05,Equinox,0.589028,0.603965,0.014936
s2,R-05,JDT,0.574906,0.589822,0.014917
s2,R-05,MYLYN,0.569519,0.569378,-0.000141
s2,R-05,PDE,0.577980,0.605656,0.027675
s2,R-05,Papyrus,0.577629,0.579295,0.001666
s2,R-05,Platform,0.596932,0.589909,-0.007023
s2,R-05,TPTP,0.605698,0.612486,0.006788
