task,project,baseline_macro_f1,selected_macro_f1,delta
s6,BIRT,0.194705,0.228679,0.033974
s6,CDT,0.174149,0.226875,0.052726
s6,Equinox,0.184117,0.229286,0.045169
s6,JDT,0.175133,0.240390,0.065257
s6,MYLYN,0.154779,0.220346,0.065567
s6,PDE,0.176297,0.239548,0.063251
s6,Papyrus,0.162382,0.215176,0.052794
s6,Platform,0.193696,0.261559,0.067862
s6,TPTP,0.162107,0.214851,0.052744
s3,BIRT,0.355660,0.400150,0.044490
s3,CDT,0.343435,0.415704,0.072269
s3,Equinox,0.360934,0.430444,0.069510
s3,JDT,0.339448,0.408520,0.069073
s3,MYLYN,0.310922,0.412077,0.101155
s3,PDE,0.341613,0.403289,0.061676
s3,Papyrus,0.328215,0.398628,0.070412
s3,Platform,0.358951,0.415138,0.056187
s3,TPTP,0.332032,0.416745,0.084713
s2,BIRT,0.592471,0.601603,0.009133
s2,CDT,0.561547,0.568928,0.007381
s2,Equinox,0.576297,0.589028,0.012731
s2,JDT,0.568091,0.574906,0.006815
s2,MYLYN,0.555802,0.569519,0.013717
s2,PDE,0.568802,0.577980,0.009178
s2,Papyrus,0.558194,0.577629,0.019435
s2,Platform,0.593066,0.596932,0.003865
s2,TPTP,0.587134,0.605698,0.018564
