candidate_id,representation,model,c,class_weight,project_weighting
P-000,word,LinearSVC,0.25,none,none
P-001,word,LinearSVC,0.25,none,inverse_sqrt
P-002,word,LinearSVC,0.25,balanced,none
P-003,word,LinearSVC,0.25,balanced,inverse_sqrt
P-004,word,LinearSVC,1.0,none,none
P-005,word,LinearSVC,1.0,none,inverse_sqrt
P-006,word,LinearSVC,1.0,balanced,none
P-007,word,LinearSVC,1.0,balanced,inverse_sqrt
P-008,word,LogisticRegression,0.5,none,none
P-009,word,LogisticRegression,0.5,none,inverse_sqrt
P-010,word,LogisticRegression,0.5,balanced,none
P-011,word,LogisticRegression,0.5,balanced,inverse_sqrt
P-012,char,LinearSVC,0.25,none,none
P-013,char,LinearSVC,0.25,none,inverse_sqrt
P-014,char,LinearSVC,0.25,balanced,none
P-015,char,LinearSVC,0.25,balanced,inverse_sqrt
P-016,char,LinearSVC,1.0,none,none
P-017,char,LinearSVC,1.0,none,inverse_sqrt
P-018,char,LinearSVC,1.0,balanced,none
P-019,char,LinearSVC,1.0,balanced,inverse_sqrt
P-020,char,LogisticRegression,0.5,none,none
P-021,char,LogisticRegression,0.5,none,inverse_sqrt
P-022,char,LogisticRegression,0.5,balanced,none
P-023,char,LogisticRegression,0.5,balanced,inverse_sqrt
P-024,word_char,LinearSVC,0.25,none,none
P-025,word_char,LinearSVC,0.25,none,inverse_sqrt
P-026,word_char,LinearSVC,0.25,balanced,none
P-027,word_char,LinearSVC,0.25,balanced,inverse_sqrt
P-028,word_char,LinearSVC,1.0,none,none
P-029,word_char,LinearSVC,1.0,none,inverse_sqrt
P-030,word_char,LinearSVC,1.0,balanced,none
P-031,word_char,LinearSVC,1.0,balanced,inverse_sqrt
P-032,word_char,LogisticRegression,0.5,none,none
P-033,word_char,LogisticRegression,0.5,none,inverse_sqrt
P-034,word_char,LogisticRegression,0.5,balanced,none
P-035,word_char,LogisticRegression,0.5,balanced,inverse_sqrt
