partition,task,project,label,rows
development,s6,Platform,normal,53054
development,s6,JDT,normal,26870
development,s6,CDT,normal,9937
development,s6,BIRT,normal,9931
development,s6,PDE,normal,8205
development,s6,Platform,major,7316
development,s6,Equinox,normal,7075
development,s6,Papyrus,normal,5428
development,s6,MYLYN,normal,4158
development,s6,TPTP,normal,3806
development,s6,Platform,minor,2977
development,s6,JDT,major,2867
development,s6,Platform,critical,2690
development,s6,JDT,minor,2241
development,s6,BIRT,major,1984
development,s6,CDT,major,1353
development,s6,Platform,trivial,1240
development,s6,TPTP,major,1192
development,s6,Platform,blocker,1076
development,s6,JDT,critical,1012
development,s6,MYLYN,minor,887
development,s6,Papyrus,major,855
development,s6,PDE,major,853
development,s6,JDT,trivial,696
development,s6,BIRT,critical,691
development,s6,CDT,minor,652
development,s6,Equinox,major,615
development,s6,TPTP,critical,567
development,s6,MYLYN,major,498
development,s6,BIRT,blocker,434
development,s6,BIRT,minor,405
development,s6,PDE,minor,359
development,s6,CDT,critical,346
development,s6,MYLYN,trivial,343
development,s6,TPTP,blocker,326
development,s6,PDE,critical,315
development,s6,JDT,blocker,282
development,s6,Equinox,critical,271
development,s6,Papyrus,critical,265
development,s6,Papyrus,minor,262
development,s6,Equinox,minor,219
development,s6,CDT,blocker,173
development,s6,Equinox,blocker,156
development,s6,CDT,trivial,150
development,s6,MYLYN,critical,149
development,s6,TPTP,minor,142
development,s6,PDE,trivial,128
development,s6,PDE,blocker,119
development,s6,MYLYN,blocker,96
development,s6,Papyrus,blocker,88
development,s6,Papyrus,trivial,84
development,s6,BIRT,trivial,79
development,s6,Equinox,trivial,62
development,s6,TPTP,trivial,19
development,s3,Platform,MEDIUM,60370
development,s3,JDT,MEDIUM,29737
development,s3,BIRT,MEDIUM,11915
development,s3,CDT,MEDIUM,11290
development,s3,PDE,MEDIUM,9058
development,s3,Equinox,MEDIUM,7690
development,s3,Papyrus,MEDIUM,6283
development,s3,TPTP,MEDIUM,4998
development,s3,MYLYN,MEDIUM,4656
development,s3,Platform,LOW,4217
development,s3,Platform,HIGH,3766
development,s3,JDT,LOW,2937
development,s3,JDT,HIGH,1294
development,s3,MYLYN,LOW,1230
development,s3,BIRT,HIGH,1125
development,s3,TPTP,HIGH,893
development,s3,CDT,LOW,802
development,s3,CDT,HIGH,519
development,s3,PDE,LOW,487
development,s3,BIRT,LOW,484
development,s3,PDE,HIGH,434
development,s3,Equinox,HIGH,427
development,s3,Papyrus,HIGH,353
development,s3,Papyrus,LOW,346
development,s3,Equinox,LOW,281
development,s3,MYLYN,HIGH,245
development,s3,TPTP,LOW,161
development,s2,Platform,LOWER_IMPACT,57271
development,s2,JDT,LOWER_IMPACT,29807
development,s2,Platform,HIGH_IMPACT,11082
development,s2,CDT,LOWER_IMPACT,10739
development,s2,BIRT,LOWER_IMPACT,10415
development,s2,PDE,LOWER_IMPACT,8692
development,s2,Equinox,LOWER_IMPACT,7356
development,s2,Papyrus,LOWER_IMPACT,5774
development,s2,MYLYN,LOWER_IMPACT,5388
development,s2,JDT,HIGH_IMPACT,4161
development,s2,TPTP,LOWER_IMPACT,3967
development,s2,BIRT,HIGH_IMPACT,3109
development,s2,TPTP,HIGH_IMPACT,2085
development,s2,CDT,HIGH_IMPACT,1872
development,s2,PDE,HIGH_IMPACT,1287
development,s2,Papyrus,HIGH_IMPACT,1208
development,s2,Equinox,HIGH_IMPACT,1042
development,s2,MYLYN,HIGH_IMPACT,743
