project,partition,rows,minimum_creation_time,maximum_creation_time,duplicate_groups
BIRT,development,13524,2005-01-07 20:28:58+00:00,2008-04-29 03:00:37+00:00,12427
BIRT,locked_test,3312,2008-04-29 03:07:37+00:00,2009-06-02 05:47:07+00:00,3115
BIRT,purged_from_test,69,2008-04-29 08:43:17+00:00,2009-05-26 07:04:52+00:00,60
CDT,development,12611,2002-01-14 05:08:01+00:00,2011-02-25 08:44:43+00:00,11636
CDT,locked_test,3045,2011-02-25 09:04:22+00:00,2014-06-29 13:45:27+00:00,2886
CDT,purged_from_test,108,2011-03-01 09:25:43+00:00,2014-06-26 17:28:30+00:00,64
Equinox,development,8398,2001-10-11 02:35:18+00:00,2010-05-07 21:16:34+00:00,7470
Equinox,locked_test,2031,2010-05-08 20:34:24+00:00,2013-03-15 08:49:49+00:00,1892
Equinox,purged_from_test,69,2010-05-10 14:15:30+00:00,2012-11-15 09:10:08+00:00,52
JDT,development,33968,2001-10-11 02:14:42+00:00,2008-06-13 21:30:35+00:00,29163
JDT,locked_test,8021,2008-06-14 03:27:56+00:00,2014-04-30 17:19:47+00:00,7226
JDT,purged_from_test,471,2008-06-14 12:08:35+00:00,2014-04-29 12:44:28+00:00,292
MYLYN,development,6131,2005-06-10 17:41:17+00:00,2011-01-05 09:14:34+00:00,5482
MYLYN,locked_test,1514,2011-01-06 03:27:50+00:00,2012-08-09 00:47:54+00:00,1432
MYLYN,purged_from_test,19,2011-01-05 10:36:36+00:00,2012-03-14 20:48:21+00:00,16
PDE,development,9979,2001-10-11 01:39:24+00:00,2009-04-30 19:02:12+00:00,8844
PDE,locked_test,2425,2009-05-01 04:52:15+00:00,2012-10-23 20:43:44+00:00,2272
PDE,purged_from_test,70,2009-05-01 03:02:12+00:00,2012-08-28 17:50:10+00:00,49
Papyrus,development,6982,2008-10-06 12:39:04+00:00,2016-06-02 14:28:53+00:00,6711
Papyrus,locked_test,1734,2016-06-02 14:41:53+00:00,2017-08-31 10:13:11+00:00,1695
Papyrus,purged_from_test,12,2016-06-30 11:55:18+00:00,2017-06-16 07:43:58+00:00,12
Platform,development,68353,2001-10-11 01:34:46+00:00,2009-01-25 19:05:15+00:00,58181
Platform,locked_test,16459,2009-01-26 10:04:33+00:00,2013-05-24 11:08:19+00:00,14919
Platform,purged_from_test,630,2009-01-26 12:39:14+00:00,2013-05-22 13:48:04+00:00,445
TPTP,development,6052,2003-11-05 14:18:46+00:00,2007-04-20 03:42:00+00:00,5546
TPTP,locked_test,1458,2007-04-20 04:13:38+00:00,2008-03-14 10:35:38+00:00,1369
TPTP,purged_from_test,56,2007-04-20 15:28:29+00:00,2008-03-13 19:04:06+00:00,43
