task,fold,inner_or_outer,project,validation_start,rows_before,rows_after_label_filter,rows_before_cutoff,rows_after_cutoff,rows_after_exact_duplicate_purge,rows_after_normalized_duplicate_purge,max_timestamp_after_cutoff,cutoff_violations_after_filter,source_validation_overlap_after_purge
s6,1,outer,BIRT,2007-03-21 20:51:32+00:00,23308,21132,21132,8686,8686,8686,2007-03-21 20:28:06+00:00,0,0
s6,1,inner_1,BIRT,2006-02-24 21:14:22+00:00,23308,21132,21132,3334,3334,3334,2006-02-24 17:49:02+00:00,0,0
s6,1,inner_2,BIRT,2006-10-10 17:41:17+00:00,23308,21132,21132,6993,6993,6993,2006-10-10 16:05:30+00:00,0,0
s6,2,outer,BIRT,2008-06-10 18:02:48+00:00,23308,21132,21132,14234,14234,14234,2008-06-10 16:58:29+00:00,0,0
s6,2,inner_1,BIRT,2006-10-10 17:41:17+00:00,23308,21132,21132,6993,6993,6993,2006-10-10 16:05:30+00:00,0,0
s6,2,inner_2,BIRT,2007-07-20 06:28:17+00:00,23308,21132,21132,10708,10708,10708,2007-07-20 06:21:19+00:00,0,0
s6,3,outer,BIRT,2010-05-11 09:41:58+00:00,23308,21132,21132,18814,18814,18814,2010-05-11 08:47:13+00:00,0,0
s6,3,inner_1,BIRT,2007-03-21 20:51:32+00:00,23308,21132,21132,8686,8686,8686,2007-03-21 20:28:06+00:00,0,0
s6,3,inner_2,BIRT,2008-06-10 18:02:48+00:00,23308,21132,21132,14234,14234,14234,2008-06-10 16:58:29+00:00,0,0
s3,1,outer,BIRT,2007-03-21 20:51:32+00:00,23308,21132,21132,8686,8686,8686,2007-03-21 20:28:06+00:00,0,0
s3,1,inner_1,BIRT,2006-02-24 21:14:22+00:00,23308,21132,21132,3334,3334,3334,2006-02-24 17:49:02+00:00,0,0
s3,1,inner_2,BIRT,2006-10-10 17:41:17+00:00,23308,21132,21132,6993,6993,6993,2006-10-10 16:05:30+00:00,0,0
s3,2,outer,BIRT,2008-06-10 18:02:48+00:00,23308,21132,21132,14234,14234,14234,2008-06-10 16:58:29+00:00,0,0
s3,2,inner_1,BIRT,2006-10-10 17:41:17+00:00,23308,21132,21132,6993,6993,6993,2006-10-10 16:05:30+00:00,0,0
s3,2,inner_2,BIRT,2007-07-20 06:28:17+00:00,23308,21132,21132,10708,10708,10708,2007-07-20 06:21:19+00:00,0,0
s3,3,outer,BIRT,2010-05-11 09:41:58+00:00,23308,21132,21132,18814,18814,18814,2010-05-11 08:47:13+00:00,0,0
s3,3,inner_1,BIRT,2007-03-21 20:51:32+00:00,23308,21132,21132,8686,8686,8686,2007-03-21 20:28:06+00:00,0,0
s3,3,inner_2,BIRT,2008-06-10 18:02:48+00:00,23308,21132,21132,14234,14234,14234,2008-06-10 16:58:29+00:00,0,0
s2,1,outer,BIRT,2007-03-21 20:51:32+00:00,23308,21132,21132,8686,8686,8686,2007-03-21 20:28:06+00:00,0,0
s2,1,inner_1,BIRT,2006-02-24 21:14:22+00:00,23308,21132,21132,3334,3334,3334,2006-02-24 17:49:02+00:00,0,0
s2,1,inner_2,BIRT,2006-10-10 17:41:17+00:00,23308,21132,21132,6993,6993,6993,2006-10-10 16:05:30+00:00,0,0
