task,fold,inner_or_outer,project,rows_after_exact_duplicate_purge,rows_after_normalized_duplicate_purge,source_validation_overlap_after_purge
s2,1,inner_1,BIRT,3334,3334,0
s2,1,inner_1,CDT,4968,4968,0
s2,1,inner_1,Equinox,1086,1086,0
s2,1,inner_1,JDT,26463,26463,0
s2,1,inner_1,PDE,5061,5061,0
s2,1,inner_1,Papyrus,0,0,0
s2,1,inner_1,Platform,47006,47006,0
s2,1,inner_1,TPTP,2675,2675,0
s2,1,inner_2,BIRT,6993,6993,0
s2,1,inner_2,CDT,5598,5598,0
s2,1,inner_2,Equinox,1431,1431,0
s2,1,inner_2,JDT,29117,29117,0
s2,1,inner_2,PDE,5912,5912,0
s2,1,inner_2,Papyrus,0,0,0
s2,1,inner_2,Platform,52922,52922,0
s2,1,inner_2,TPTP,4852,4852,0
s2,1,outer,BIRT,8686,8686,0
s2,1,outer,CDT,6134,6134,0
s2,1,outer,Equinox,1752,1752,0
s2,1,outer,JDT,30410,30410,0
s2,1,outer,PDE,6459,6459,0
s2,1,outer,Papyrus,0,0,0
s2,1,outer,Platform,56382,56382,0
s2,1,outer,TPTP,5836,5836,0
s2,2,inner_1,BIRT,6993,6993,0
s2,2,inner_1,CDT,5598,5598,0
s2,2,inner_1,Equinox,1431,1431,0
s2,2,inner_1,JDT,29117,29117,0
s2,2,inner_1,PDE,5912,5912,0
s2,2,inner_1,Papyrus,0,0,0
s2,2,inner_1,Platform,52922,52922,0
s2,2,inner_1,TPTP,4852,4852,0
s2,2,inner_2,BIRT,10708,10708,0
s2,2,inner_2,CDT,7120,7120,0
s2,2,inner_2,Equinox,2128,2128,0
s2,2,inner_2,JDT,31554,31554,0
s2,2,inner_2,PDE,6954,6954,0
s2,2,inner_2,Papyrus,0,0,0
s2,2,inner_2,Platform,59362,59362,0
s2,2,inner_2,TPTP,6746,6746,0
s2,2,outer,BIRT,14234,14234,0
s2,2,outer,CDT,8598,8598,0
s2,2,outer,Equinox,4522,4522,0
s2,2,outer,JDT,33936,33936,0
s2,2,outer,PDE,8427,8427,0
s2,2,outer,Papyrus,0,0,0
s2,2,outer,Platform,65164,65164,0
s2,2,outer,TPTP,7970,7970,0
s2,3,inner_1,BIRT,8686,8686,0
s2,3,inner_1,CDT,6134,6134,0
s2,3,inner_1,Equinox,1752,1752,0
s2,3,inner_1,JDT,30410,30410,0
s2,3,inner_1,PDE,6459,6459,0
s2,3,inner_1,Papyrus,0,0,0
s2,3,inner_1,Platform,56382,56382,0
s2,3,inner_1,TPTP,5836,5836,0
s2,3,inner_2,BIRT,14234,14234,0
s2,3,inner_2,CDT,8598,8598,0
s2,3,inner_2,Equinox,4522,4522,0
s2,3,inner_2,JDT,33936,33936,0
s2,3,inner_2,PDE,8427,8427,0
s2,3,inner_2,Papyrus,0,0,0
