task,fold,model,macro_f1,accuracy,weighted_f1,balanced_accuracy,macro_f1_delta_transfer_minus_matched
s6,1,matched_target_only,0.208105,0.537680,0.533004,0.218146,
s6,1,transfer,0.257616,0.552646,0.556654,0.268183,0.049512
s6,2,matched_target_only,0.211694,0.481402,0.474057,0.215602,
s6,2,transfer,0.213100,0.414555,0.432099,0.228795,0.001406
s6,3,matched_target_only,0.243287,0.423504,0.466969,0.299643,
s6,3,transfer,0.251508,0.422975,0.473934,0.310101,0.008221
s3,1,matched_target_only,0.423908,0.675575,0.666051,0.418748,
s3,1,transfer,0.426019,0.664351,0.660659,0.434603,0.002111
s3,2,matched_target_only,0.413573,0.599461,0.611180,0.420919,
s3,2,transfer,0.413573,0.599461,0.611180,0.420919,0.000000
s3,3,matched_target_only,0.410255,0.618317,0.649505,0.444999,
s3,3,transfer,0.410255,0.618317,0.649505,0.444999,0.000000
s2,1,matched_target_only,0.483534,0.898450,0.851441,0.505208,
s2,1,transfer,0.581972,0.883485,0.864130,0.566061,0.098439
s2,2,matched_target_only,0.464337,0.866846,0.807021,0.498759,
s2,2,transfer,0.542220,0.852830,0.820509,0.537876,0.077883
s2,3,matched_target_only,0.612423,0.823187,0.833475,0.629252,
s2,3,transfer,0.611543,0.812599,0.827690,0.637548,-0.000880
