task,label,support,predicted,precision,recall,f1
s6,blocker,61,166,0.066265,0.180328,0.096916
s6,critical,115,257,0.058366,0.130435,0.080645
s6,major,473,526,0.192015,0.213531,0.202202
s6,minor,828,1349,0.222387,0.362319,0.275609
s6,normal,3720,2925,0.714188,0.561559,0.628743
s6,trivial,418,392,0.219388,0.205742,0.212346
s3,HIGH,176,236,0.127119,0.170455,0.145631
s3,LOW,1246,1595,0.330408,0.422953,0.370996
s3,MEDIUM,4193,3784,0.783827,0.707369,0.743638
s2,HIGH_IMPACT,649,490,0.300000,0.226502,0.258121
s2,LOWER_IMPACT,4966,5125,0.902049,0.930930,0.916262
