task,fold,label,precision,recall,f1,support
s6,1,blocker,0.18181818181818182,0.23529411764705882,0.20512820512820512,34.0
s6,1,critical,0.06172839506172839,0.1388888888888889,0.08547008547008547,36.0
s6,1,major,0.14,0.1721311475409836,0.15441176470588236,122.0
s6,1,normal,0.7229783827061649,0.7104642014162077,0.7166666666666667,1271.0
s6,1,minor,0.2993421052631579,0.28173374613003094,0.2902711323763955,323.0
s6,1,trivial,0.13953488372093023,0.07058823529411765,0.09375,85.0
s6,2,blocker,0.04477611940298507,0.15789473684210525,0.06976744186046512,19.0
s6,2,critical,0.05454545454545454,0.06,0.05714285714285714,50.0
s6,2,major,0.18791946308724833,0.16091954022988506,0.17337461300309598,174.0
s6,2,normal,0.6384297520661157,0.5369244135534318,0.58329400660689,1151.0
s6,2,minor,0.1873767258382643,0.3298611111111111,0.2389937106918239,288.0
s6,2,trivial,0.2018348623853211,0.12716763005780346,0.15602836879432624,173.0
s6,3,blocker,0.0,0.0,0.0,8.0
s6,3,critical,0.05785123966942149,0.2413793103448276,0.09333333333333334,29.0
s6,3,major,0.2290748898678414,0.2937853107344633,0.25742574257425743,177.0
s6,3,normal,0.8022598870056498,0.43759630200308164,0.5663010967098704,1298.0
s6,3,minor,0.21189591078066913,0.5253456221198156,0.3019867549668874,217.0
s6,3,trivial,0.24166666666666667,0.3625,0.29,160.0
s3,1,HIGH,0.13761467889908258,0.21428571428571427,0.16759776536312848,70.0
s3,1,MEDIUM,0.7710508002783577,0.7954055994256999,0.7830388692579505,1393.0
s3,1,LOW,0.36923076923076925,0.29411764705882354,0.3274215552523875,408.0
s3,2,HIGH,0.13432835820895522,0.13043478260869565,0.1323529411764706,69.0
s3,2,MEDIUM,0.7525337837837838,0.6724528301886793,0.7102431247508968,1325.0
s3,2,LOW,0.3509933774834437,0.4598698481561822,0.39812206572769954,461.0
s3,3,HIGH,0.1,0.16216216216216217,0.12371134020618557,37.0
s3,3,MEDIUM,0.8314703353396389,0.655593220338983,0.733131159969674,1475.0
s3,3,LOW,0.2927927927927928,0.5172413793103449,0.37392138063279,377.0
s2,1,HIGH_IMPACT,0.35555555555555557,0.16666666666666666,0.22695035460992907,192.0
s2,1,LOWER_IMPACT,0.9101628298708591,0.9654556283502085,0.9369942196531792,1679.0
s2,2,HIGH_IMPACT,0.32142857142857145,0.1111111111111111,0.1651376146788991,243.0
s2,2,LOWER_IMPACT,0.8780350084697911,0.9646401985111662,0.919302394324564,1612.0
s2,3,HIGH_IMPACT,0.27848101265822783,0.411214953271028,0.3320754716981132,214.0
s2,3,LOWER_IMPACT,0.9198982835346472,0.8638805970149254,0.8910098522167488,1675.0
