task,fold,challenger_prediction,rows
s2,1,HIGH_IMPACT,90
s2,1,LOWER_IMPACT,1781
s2,2,HIGH_IMPACT,84
s2,2,LOWER_IMPACT,1771
s2,3,HIGH_IMPACT,316
s2,3,LOWER_IMPACT,1573
s3,1,HIGH,109
s3,1,LOW,325
s3,1,MEDIUM,1437
s3,2,HIGH,67
s3,2,LOW,604
s3,2,MEDIUM,1184
s3,3,HIGH,60
s3,3,LOW,666
s3,3,MEDIUM,1163
s6,1,blocker,44
s6,1,critical,81
s6,1,major,150
s6,1,minor,304
s6,1,normal,1249
s6,1,trivial,43
s6,2,blocker,67
s6,2,critical,55
s6,2,major,149
s6,2,minor,507
s6,2,normal,968
s6,2,trivial,109
s6,3,blocker,55
s6,3,critical,121
s6,3,major,227
s6,3,minor,538
s6,3,normal,708
s6,3,trivial,240
